Gene_Name,P_Value
HIST3H2A,2.630606843467831e-11
LIN7B,0.2384959815887694
LXN,2.305757291765076e-07
SCML1,0.01531204751384152
GSDMD,1.8673260271384606e-07
AKR1C1,6.206318512269604e-05
C3orf62,4.583913925572415e-08
CRISPLD2,3.0412363649645613e-07
DOCK5,4.521505763577238e-06
SLC33A1,4.9116266609416925e-12
GLI1,0.10316599771973678
STK17B,3.0890845437170356e-12
VPS52,0.8055606363451162
HAGHL,0.004459422606641894
CDC37L1,4.9604764740251994e-11
KRT10,4.4941828036826337e-13
AEN,0.5918179227766114
CYHR1,0.00014253035612021847
VWA1,0.001084304825423952
EXOSC9,0.7389573758206106
TNFAIP8L2,8.881784197001252e-15
PFDN2,1.7763568394002505e-14
TCP1,3.553965267974363e-09
ALG9,5.885483223611942e-07
RPS15A,0.9618478594751583
PMEL,0.039015525521861605
SFMBT1,0.645875956795086
CYBA,7.235236054725647e-08
GINS1,1.1100954635085601e-09
GPX3,1.7763568394002505e-15
IPO9,6.860708631977539e-09
SHKBP1,0.03453081197041463
ARHGAP40,0.14601836144972324
ENO3,0.027545164283727885
COX19,4.4254613142058474e-05
LMF1,3.863753761379485e-11
S100P,0.08226751834101265
RDH14,0.017101069545240932
GDE1,1.0451820186219152e-05
LSM14B,3.0020430585864233e-13
TLE2,5.861977570020827e-14
ACOT8,0.14231459792438458
EIF4EBP3,1.4432899320127035e-10
LRP2BP,1.7763568394002505e-15
PELO,2.2601653881793027e-10
CDIPT,0.0002211422351869885
C19orf44,1.0451820186219152e-05
PABPN1,1.757493883758343e-08
NFKBIB,0.0320635128716165
ZWINT,3.552713678800501e-15
DYNLL1,1.7496796758109667e-06
NRXN3,0.0004506016805585489
FYTTD1,9.464115928229098e-08
CAPRIN1,1.370373858833318e-08
AOC3,3.552713678800501e-15
KIFC3,4.2364032282193875e-08
DOCK11,5.329070518200751e-15
NENF,0.07082612042920822
TMEM231,1.859966783257505e-06
DNAH17,0.007129305080006522
DCHS1,9.745764195656648e-08
ZFYVE19,0.00025655038305573007
NTRK1,0.00014903614355255002
CCDC62,0.008848884696840642
WDR53,1.7763568394002505e-15
NLN,5.861977570020827e-14
TBC1D31,7.638334409421077e-14
NOXRED1,0.4963885938865378
ZNF597,3.552713678800501e-15
RNF114,0.0006715891126169993
JOSD2,0.15714035289247086
SFRP2,0.0007261627070427323
PNMA2,8.881784197001252e-15
HENMT1,0.0009149367393188612
STX16,0.00015581408102782746
PTX3,1.859966783257505e-06
BFAR,2.670359481982132e-06
SHROOM3,2.4868995751603507e-14
NUP107,1.2434497875801753e-14
HS6ST1,1.0192735544478637e-11
BRWD3,2.2310435863204248e-06
FGF11,1.7763568394002505e-15
CCDC138,1.2871659293978155e-10
FAM193B,0.0001941578147395262
BATF,7.861200783665367e-05
COL4A2,0.054216182330456775
AGFG2,9.785132704109856e-10
TVP23B,0.0007549339759211904
FBXO42,0.3724861917482851
NBEAL1,4.4254613142058474e-05
BCL6,0.000251529064962952
DNAJC3,2.4721383162784605e-07
C1orf233,0.0031841956112062223
VPS13B,0.8109402812359416
ZMYM3,0.8557483168795788
SEMA3D,0.27798803015155293
ITGB6,4.218847493575595e-12
RBM44,0.0027053239960554976
CEACAM21,1.2434497875801753e-13
ETV6,0.008848884696840642
C1RL,1.2141019567479816e-07
CCDC181,1.8529841432318867e-08
GPN3,0.008085622213709343
RAP1GAP,1.1467804483800137e-10
